city,gdp,sick
Honolulu,69252,414
Louisville,72093,2897
Portland,164419,4761
Oklahoma City,81016,5553
Washington DC,540684,1369
Milwaukee,103731,5159
Richmond,85792,3172
Kansas City,132703,5844
Stamford,89387,612
Salt Lake City,94306,6545
Cleveland,134369,5552
Raleigh,83665,6533
Columbus,129328,5752
Cincinnati,141042,6020
Memphis,76749,8839
St Louis,169839,7591
Hartford,99465,782
Virginia Beach,100976,4343
Indianapolis,140762,4712
Providence,87414,1445
Pittsburgh,152840,3726
San Jose,331020,11235
Denver,214157,5336
Nashville,132202,12702
Sacramento,145479,13341
Seattle,392036,10300
Charlotte,169862,12387
New Orleans,80287,12668
Austin,146784,17892
Jacksonville,83186,19578
Las Vegas,122423,17623
San Antonio,133633,20494
Minneapolis,263690,9172
San Diego,245138,18842
Detroit,267731,6543
Baltimore,205313,7030
Orlando,138947,32742
Riverside,187109,26249
San Francisco,548613,26707
Philadelphia,444148,9810
Tampa,159002,40107
Boston,463570,4824
Atlanta,397261,46902
Houston,478778,56767
Dallas,512509,60840
Phoenix,255211,63969
Miami,354740,77413
Chicago,689464,19759
Los Angeles,1047661,74585
New York,1772319,13355
